,Models Type,Models Error values
0,MULTI_SVM_MAE,1.6452997544508723
1,DNN_Multivariate_MAE,1.009128927677236
2,GRU_Multivariate_MAE (When loss=mae),0.5689638983136598
3,GRU_Multivariate_MAE (When loss=mse),0.5195587034946866
4,RBFN_Multivariate_MAE (When loss=mae),0.8570602243324625
5,RBFN_Multivariate_MAE (When loss=mse),0.9346262465934334
6,LSTM_Multivariate_MAE (When loss=mae),0.4434509395359994
7,LSTM_Multivariate_MAE (When loss=mse),0.4843510638226491
8,Arima Multivariate model MAE,0.8033551863205933
