Time,traffic information,RP
20150407_09,75.90,89.30
20150407_10,76.20,88.90
20150407_11,76.70,89.90
20150407_12,77.10,90.60
20150407_13,76.50,89.30
20150407_14,76.20,89.40
20150407_15,76.00,89.00
20150407_16,76.10,89.00
20150407_17,75.90,89.40
20150407_18,74.70,87.60
20150407_19,76.80,90.60
20150407_20,77.40,91.20
20150407_21,77.50,91.60
20150407_22,77.80,91.60
20150407_23,77.80,91.50
20150408_00,78.50,92.70
20150408_01,79.40,91.60
20150408_02,79.30,93.00
20150408_03,79.20,92.00
20150408_04,78.30,90.90
20150408_05,77.50,90.70
20150408_06,76.40,88.10
20150408_07,74.50,87.90
20150408_08,75.10,89.60
20150408_09,75.70,89.40
20150408_10,76.00,90.00
20150408_11,76.90,90.70
20150408_12,77.00,91.10
20150408_13,76.20,90.60
20150408_14,75.80,89.20
20150408_15,76.40,89.00
20150408_16,76.20,89.40
20150408_17,75.80,88.70
20150408_18,74.80,87.60
20150408_19,76.10,89.90
20150408_20,77.40,90.30
20150408_21,77.40,90.70
20150408_22,77.40,91.10
20150408_23,78.30,91.90
20150409_00,78.40,92.40
20150409_01,79.30,91.60
20150409_02,80.00,92.30
20150409_03,79.70,92.10
20150409_04,78.50,91.00
20150409_05,77.00,91.50
20150409_06,76.20,88.40
20150409_07,74.90,89.30
20150409_08,75.70,89.90
20150409_09,75.80,88.90
20150409_10,75.80,89.80
20150409_11,76.60,89.50
20150409_12,77.00,90.70
20150409_13,76.00,90.50
20150409_14,76.20,89.40
20150409_15,75.90,89.10
20150409_16,75.70,88.10
20150409_17,75.60,89.10
20150409_18,75.30,88.50
20150409_19,76.70,90.00
20150409_20,77.50,90.60
20150409_21,77.20,90.70
20150409_22,77.50,91.30
20150409_23,78.10,92.00
20150410_00,78.60,92.30
20150410_01,79.80,92.40
20150410_02,79.80,91.70
20150410_03,79.30,91.50
20150410_04,78.90,90.60
20150410_05,77.20,90.80
20150410_06,76.80,89.30
20150410_07,75.00,89.80
20150410_08,75.70,89.90
20150410_09,75.70,89.40
20150410_10,75.70,89.10
20150410_11,76.10,89.60
20150410_12,76.50,90.80
20150410_13,75.80,87.80
20150410_14,75.80,88.60
20150410_15,75.60,89.10
20150410_16,75.00,88.10
20150410_17,74.60,86.60
20150410_18,73.70,85.40
20150410_19,75.40,88.70
20150410_20,76.50,90.10
20150410_21,77.30,90.60
20150410_22,77.50,91.00
20150410_23,77.90,92.10
20150411_00,78.30,91.30
20150411_01,79.50,91.90
20150411_02,80.40,91.90
20150411_03,80.00,91.40
20150411_04,78.90,91.80
20150411_05,77.90,91.80
20150411_06,76.40,91.50
20150411_07,76.80,91.80
20150411_08,76.10,87.80
20150411_09,75.50,86.70
20150411_10,75.80,87.60
20150411_11,75.70,88.30
20150411_12,75.30,88.70
20150411_13,74.80,87.10
20150411_14,74.90,86.80
20150411_15,74.70,87.40
20150411_16,74.90,86.40
20150411_17,74.80,86.40
20150411_18,75.70,88.60
20150411_19,76.50,89.40
20150411_20,76.90,89.90
20150411_21,77.30,90.90
20150411_22,77.80,91.90
20150411_23,78.40,91.80
20150412_00,78.40,92.20
20150412_01,79.50,92.40
20150412_02,80.00,92.10
20150412_03,79.40,92.90
20150412_04,79.00,91.20
20150412_05,77.50,91.60
20150412_06,76.40,92.00
20150412_07,76.10,91.60
20150412_08,76.40,91.70
20150412_09,76.20,89.40
20150412_10,75.90,89.10
20150412_11,76.50,90.80
20150412_12,76.00,89.60
20150412_13,75.90,90.30
20150412_14,75.80,89.60
20150412_15,76.10,89.40
20150412_16,76.60,90.50
20150412_17,76.40,89.70
20150412_18,76.70,91.30
20150412_19,76.90,91.80
20150412_20,77.30,92.00
20150412_21,77.60,92.30
20150412_22,77.30,91.90
20150412_23,77.10,92.50
20150413_00,77.50,91.50
20150413_01,78.20,91.80
20150413_02,78.00,90.70
20150413_03,77.80,92.30
20150413_04,76.90,91.80
20150413_05,76.50,90.30
20150413_06,75.60,83.90
20150413_07,73.90,87.70
20150413_08,74.80,89.30
20150413_09,75.30,89.60
20150413_10,75.60,89.70
20150413_11,76.40,90.30
20150413_12,76.80,90.90
20150413_13,76.20,90.30
20150413_14,76.30,89.10
20150413_15,75.90,88.90
20150413_16,75.60,87.90
20150413_17,75.30,87.80
20150413_18,74.60,86.90
20150413_19,76.40,89.60
20150413_20,76.90,90.10
20150413_21,77.40,90.00
20150413_22,77.50,91.00
20150413_23,78.20,91.90
20150414_00,78.30,92.30
20150414_01,79.90,92.50
20150414_02,79.80,92.70
20150414_03,79.60,91.10
20150414_04,78.90,91.50
20150414_05,77.40,92.20
20150414_06,76.60,86.30
20150414_07,74.70,88.50
20150414_08,75.30,89.10
20150414_09,75.50,88.80
20150414_10,75.90,88.90
20150414_11,77.00,89.80
