Time,traffic information,RP
20141114_12,76.50,88.70
20141114_13,75.90,86.90
20141114_14,76.10,86.80
20141114_15,75.80,85.90
20141114_16,75.70,85.70
20141114_17,75.00,83.60
20141114_18,73.90,82.50
20141114_19,75.60,85.80
20141114_20,76.90,87.50
20141114_21,77.70,88.20
20141114_22,77.80,87.90
20141114_23,78.00,89.70
20141115_00,78.70,89.60
20141115_01,79.60,89.50
20141115_02,80.50,89.60
20141115_03,80.70,89.00
20141115_04,79.50,89.60
20141115_05,77.70,88.00
20141115_06,77.10,87.00
20141115_07,76.60,86.70
20141115_08,76.30,85.40
20141115_09,76.20,85.50
20141115_10,75.90,85.30
20141115_11,75.60,84.20
20141115_12,75.90,85.40
20141115_13,75.30,84.90
20141115_14,75.40,84.60
20141115_15,75.30,83.70
20141115_16,75.20,82.80
20141115_17,74.70,81.90
20141115_18,75.80,85.10
20141115_19,76.90,86.90
20141115_20,77.70,88.10
20141115_21,78.00,88.30
20141115_22,78.20,89.20
20141115_23,78.20,89.90
20141116_00,78.60,90.60
20141116_01,79.50,89.70
20141116_02,80.20,89.30
20141116_03,80.10,89.40
20141116_04,79.50,88.60
20141116_05,77.80,90.10
20141116_06,76.50,89.80
20141116_07,76.00,89.40
20141116_08,76.20,89.20
20141116_09,76.70,90.00
20141116_10,76.20,89.40
20141116_11,76.50,87.90
20141116_12,75.90,85.50
20141116_13,76.20,85.40
20141116_14,76.50,87.80
20141116_15,76.20,86.60
20141116_16,76.70,86.10
20141116_17,76.30,86.70
20141116_18,77.00,88.30
20141116_19,77.30,89.70
20141116_20,77.50,89.50
20141116_21,77.70,90.30
20141116_22,77.70,90.40
20141116_23,77.40,90.60
20141117_00,78.50,90.80
20141117_01,78.70,89.80
20141117_02,78.80,90.20
20141117_03,78.50,90.20
20141117_04,77.90,89.40
20141117_05,76.90,87.90
20141117_06,76.10,79.70
20141117_07,74.20,83.80
20141117_08,75.00,87.30
20141117_09,75.50,88.40
20141117_10,76.10,89.10
20141117_11,76.50,89.00
20141117_12,77.20,89.00
20141117_13,75.80,88.00
20141117_14,76.10,87.40
20141117_15,76.40,87.10
20141117_16,76.30,86.80
20141117_17,75.80,86.40
20141117_18,75.70,85.40
20141117_19,76.90,88.00
20141117_20,77.20,89.30
20141117_21,77.70,89.70
20141117_22,77.80,89.80
20141117_23,78.30,90.50
20141118_00,78.70,89.80
20141118_01,79.40,89.20
20141118_02,79.50,90.00
20141118_03,79.50,90.10
20141118_04,78.70,90.00
20141118_05,77.40,88.60
20141118_06,76.40,85.20
20141118_07,75.00,87.30
20141118_08,75.40,88.20
20141118_09,75.90,86.90
20141118_10,75.80,87.50
20141118_11,76.30,87.60
20141118_12,77.00,88.90
20141118_13,76.20,86.70
20141118_14,75.80,86.80
20141118_15,75.90,86.10
20141118_16,76.00,86.30
20141118_17,75.80,85.00
20141118_18,75.00,84.80
20141118_19,76.20,87.60
20141118_20,77.30,89.40
20141118_21,77.50,88.40
20141118_22,77.80,89.20
20141118_23,78.10,90.10
20141119_00,78.40,90.70
20141119_01,79.30,90.40
20141119_02,79.50,90.20
20141119_03,79.80,88.60
20141119_04,78.50,87.80
20141119_05,77.30,90.20
20141119_06,76.70,86.90
20141119_07,75.00,86.10
20141119_08,75.10,87.90
20141119_09,75.60,86.30
20141119_10,75.70,86.40
20141119_11,76.80,87.90
20141119_12,76.90,89.00
20141119_13,76.50,87.50
20141119_14,76.10,86.30
20141119_15,76.00,86.40
20141119_16,75.80,86.80
20141119_17,75.40,84.50
20141119_18,74.70,84.60
20141119_19,76.40,88.00
20141119_20,77.60,88.60
20141119_21,77.50,89.10
20141119_22,77.80,89.40
20141119_23,78.20,90.10
20141120_00,78.50,90.40
20141120_01,80.00,90.40
20141120_02,80.00,88.30
20141120_03,79.70,90.10
20141120_04,78.50,89.90
20141120_05,77.20,89.00
20141120_06,77.20,86.90
20141120_07,75.10,86.10
20141120_08,75.40,87.70
20141120_09,75.70,87.00
20141120_10,76.30,87.00
20141120_11,76.70,86.80
20141120_12,77.00,88.70
20141120_13,76.20,87.00
20141120_14,76.20,86.30
20141120_15,76.00,86.20
20141120_16,75.80,85.20
20141120_17,75.30,85.00
20141120_18,74.90,85.40
20141120_19,76.00,87.40
20141120_20,77.10,88.40
20141120_21,77.70,88.50
20141120_22,77.30,89.40
20141120_23,78.10,89.70
20141121_00,78.90,89.90
20141121_01,79.70,89.70
20141121_03,79.70,88.80
20141121_04,79.00,88.70
20141121_05,77.40,89.00
20141121_06,77.10,87.00
20141121_07,75.40,87.60
20141121_08,75.10,87.50
20141121_09,75.60,86.80
20141121_10,75.50,86.90
20141121_11,76.00,87.30
20141121_12,76.40,88.10
20141121_13,75.80,84.00
20141121_14,75.60,84.30
20141121_15,75.30,85.00
20141121_16,75.50,85.30
20141121_17,74.60,83.10
20141121_18,73.90,82.40
20141121_19,75.60,86.30
20141121_20,76.30,87.40
20141121_21,77.50,87.10
20141121_22,77.70,88.40
20141121_23,78.20,89.40
20141122_00,78.60,89.50
20141122_01,79.50,89.70
20141122_02,80.30,89.20
20141122_03,80.70,89.80
20141122_04,79.60,90.10
20141122_05,78.30,88.70
20141122_06,78.00,88.70
20141122_07,77.70,87.60
20141122_08,76.90,84.70
20141122_09,76.50,83.90
20141122_10,75.90,83.60
20141122_11,76.10,84.10
20141122_12,75.10,83.80
20141122_13,75.30,84.40
20141122_14,75.30,83.80
20141122_15,75.10,83.30
20141122_16,75.00,82.60
20141122_17,74.70,82.20
20141122_18,76.10,84.30
20141122_19,77.10,85.90
20141122_20,77.80,87.90
20141122_21,78.00,89.10
20141122_22,78.00,89.30
20141122_23,78.10,90.50
20141123_00,78.70,89.80
20141123_01,79.60,90.50
20141123_02,80.30,90.10
20141123_03,80.00,88.70
20141123_04,79.10,89.70
20141123_05,78.20,89.50
20141123_06,76.80,89.10
20141123_07,76.60,89.00
20141123_08,76.10,89.40
20141123_09,76.40,88.90
20141123_10,76.60,88.00
20141123_11,76.60,87.40
20141123_12,76.50,86.30
20141123_13,76.00,86.50
20141123_14,76.10,87.00
20141123_15,76.00,86.60
20141123_16,75.80,85.30
20141123_17,76.10,85.90
20141123_18,77.30,88.20
20141123_19,77.60,88.70
20141123_20,77.70,89.00
20141123_21,77.60,90.10
20141123_22,77.50,90.20
20141123_23,77.10,90.70
20141124_00,77.30,90.10
20141124_01,78.30,90.10
20141124_02,78.40,90.80
20141124_03,78.30,89.60
20141124_04,77.70,90.20
20141124_06,76.30,81.30
20141124_07,75.00,84.90
20141124_08,75.10,87.20
20141124_09,75.90,87.60
20141124_10,76.00,88.70
20141124_11,76.30,88.20
20141124_12,76.90,88.30
20141124_13,76.10,87.70
20141124_14,76.10,87.40
20141124_15,76.30,86.90
20141124_16,75.80,86.40
20141124_17,75.70,86.20
20141124_18,75.90,85.10
20141124_19,76.60,88.60
20141124_20,76.90,88.90
20141124_21,77.60,89.90
20141124_22,77.50,90.20
20141124_23,78.30,90.40
20141125_00,78.60,91.10
20141125_01,79.50,90.10
20141125_02,79.80,90.50
20141125_03,79.40,89.90
20141125_04,78.60,90.20
20141125_05,77.30,89.10
20141125_06,76.70,86.90
20141125_07,75.50,87.80
20141125_08,75.80,87.90
20141125_09,75.90,87.30
20141125_10,76.10,87.00
20141125_11,76.50,87.60
20141125_12,76.90,88.80
20141125_13,76.40,86.90
20141125_14,76.10,86.90
20141125_15,76.00,86.10
20141125_16,76.50,86.60
20141125_17,75.60,84.70
20141125_18,75.40,84.50
20141125_19,76.60,88.10
20141125_20,77.30,89.10
20141125_21,77.80,89.00
20141125_22,77.90,89.60
20141125_23,78.30,89.70
20141126_00,78.70,90.70
20141126_01,79.70,90.50
20141126_02,80.00,90.40
20141126_03,79.80,90.80
20141126_04,78.70,89.80
20141126_05,77.40,88.30
20141126_06,77.10,87.60
20141126_07,75.60,86.00
20141126_08,75.40,88.20
20141126_09,75.80,87.30
20141126_10,75.90,87.70
20141126_11,76.60,88.00
20141126_12,76.80,89.10
20141126_13,76.00,87.80
20141126_14,76.00,85.80
20141126_15,75.60,85.70
20141126_16,76.00,85.40
20141126_17,75.60,84.20
20141126_18,75.00,85.10
20141126_19,76.50,88.00
20141126_20,77.30,88.80
20141126_21,77.90,88.80
20141126_22,77.70,89.00
20141126_23,78.00,90.30
20141127_00,78.90,90.00
20141127_01,79.50,89.70
20141127_02,80.30,89.10
20141127_03,79.20,90.30
20141127_04,79.30,89.60
20141127_05,77.70,89.00
20141127_06,76.90,88.00
20141127_07,75.90,86.60
20141127_08,75.60,88.20
20141127_09,75.50,86.10
20141127_10,75.70,86.80
20141127_11,76.50,87.70
20141127_12,76.70,88.60
20141127_13,76.10,87.90
20141127_14,76.00,86.50
20141127_15,76.30,86.80
20141127_16,75.90,86.50
20141127_17,75.30,84.30
20141127_18,75.10,85.20
20141127_19,76.40,87.50
20141127_20,77.40,88.30
20141127_21,77.40,87.20
20141127_22,77.10,88.50
20141127_23,77.80,89.70
20141128_00,78.60,90.10
20141128_01,80.00,89.30
20141128_02,80.00,89.70
20141128_03,79.90,91.00
20141128_04,79.20,89.20
20141128_05,77.80,89.90
20141128_06,77.00,87.70
20141128_07,75.80,88.00
20141128_08,75.50,87.40
20141128_09,76.20,86.90
20141128_10,76.80,86.80
20141128_11,76.50,87.60
20141128_12,77.30,88.30
20141128_13,76.90,85.40
20141128_14,76.70,85.60
20141128_15,76.00,84.90
20141128_16,75.10,83.80
20141128_17,74.50,82.40
20141128_18,73.70,81.50
20141128_19,75.20,85.10
20141128_20,76.40,87.50
20141128_21,77.60,87.60
20141128_22,77.70,89.00
20141128_23,78.60,89.70
20141129_00,78.80,90.00
20141129_01,79.90,89.80
20141129_02,80.20,89.20
20141129_03,80.40,88.20
20141129_04,79.70,87.80
20141129_05,78.20,89.30
20141129_06,77.20,90.40
20141129_07,77.10,89.70
20141129_08,76.50,87.20
20141129_09,76.10,85.20
20141129_10,76.00,85.20
20141129_11,76.00,83.60
20141129_12,75.90,85.20
20141129_13,75.10,84.20
20141129_14,75.50,84.30
20141129_15,75.30,83.80
20141129_16,75.00,82.60
20141129_17,74.60,82.30
20141129_18,75.90,85.70
20141129_19,76.70,87.00
20141129_20,77.60,88.50
20141129_21,77.60,88.60
20141129_22,78.40,89.80
20141129_23,78.50,89.10
20141130_00,78.20,89.90
20141130_01,79.80,89.20
20141130_02,80.10,89.10
20141130_03,80.00,89.80
20141130_04,79.40,89.00
20141130_05,78.20,89.00
20141130_06,77.70,89.00
20141130_07,77.30,90.40
20141130_08,76.60,90.20
20141130_09,77.00,89.10
20141130_10,76.90,88.30
20141130_11,77.30,89.30
20141130_12,76.70,88.30
20141130_13,76.80,87.70
20141130_14,76.30,85.10
20141130_15,76.90,86.80
20141130_16,76.50,86.50
20141130_17,76.80,87.50
20141130_18,77.30,88.80
20141130_19,77.90,89.70
20141130_20,77.60,89.80
20141130_21,77.80,90.40
20141130_22,77.50,90.40
20141130_23,77.30,90.90
